2,4,258,Smart
3,3,136,Smart
3,3,953,Basic
3,2,346,Smart
3,3,94,Smart
4,2,270,Smart
2,0,822,Smart
2,1,110,Smart
0,6,295,Basic
1,2,189,Smart
1,3,242,Smart
2,3,1074,Smart
4,1,395,Smart
1,2,858,Basic
2,4,1087,Basic
1,4,355,Smart
3,0,1468,Smart
2,4,4849,Basic
5,0,404,Smart
1,4,391,Basic
3,0,167,Smart
2,0,99,Smart
1,3,286,Smart
3,0,199,Smart
4,2,245,Smart
2,3,407,Smart
1,3,130,Smart
0,6,12095,Basic
1,1,169,Basic
1,1,82,Basic
3,3,116,Smart
0,2,240,Basic
1,1,111,Basic
3,0,187,Smart
1,2,120,Smart
1,1,210,Smart
2,3,192,Smart
0,2,1048,Basic
2,1,294,Smart
2,1,170,Smart
2,4,121,Smart
0,2,235,Basic
3,2,84,Smart
1,2,392,Basic
2,0,99,Smart
0,4,22279,Basic
3,0,954,Smart
1,3,166,Smart
4,1,255,Smart
3,1,1125,Smart
3,0,527,Smart
2,1,349,Smart
3,1,931,Basic
1,1,190,Smart
4,0,5127,Smart
1,4,447,Basic
0,2,81,Basic
2,0,274,Smart
2,2,2346,Smart
1,3,131,Smart
2,3,9008,Basic
3,0,518,Smart
2,0,297,Smart
4,1,492,Smart
2,0,415,Smart
4,1,361,Smart
1,5,103,Smart
1,3,10941,Basic
3,3,122,Basic
4,1,425,Basic
1,3,418,Smart
0,3,1236,Basic
2,4,139,Smart
0,2,315,Basic
3,2,379,Smart
2,4,50462,Basic
1,5,201,Basic
2,1,150,Basic
1,1,60,Basic
3,2,349,Smart
2,1,105,Smart
2,2,382,Smart
4,1,526,Smart
3,1,256,Smart
2,0,196,Smart
2,4,739,Basic
1,4,163536,Basic
6,0,401,Smart
0,2,411,Basic
2,4,545,Smart
4,1,304,Smart
1,2,137,Basic
1,3,436,Smart
4,2,268,Smart
3,1,665,Smart
2,4,3994,Basic
1,2,306,Basic
3,3,316,Basic
4,0,384,Smart
2,4,379,Smart
1,2,72,Basic
1,2,148,Smart
1,1,75,Basic
2,2,140,Smart
2,4,776,Basic
1,3,121,Smart
3,2,587,Basic
4,1,282,Smart
2,2,139,Smart
2,0,819,Smart
2,2,506,Smart
2,2,328,Smart
2,2,432,Basic
2,3,17228,Basic
4,2,350,Basic
3,3,84,Smart
4,1,339,Smart
